Card
A_H
K_H
Q_H
J_H
10_H
9_H
8_H
7_H
6_H
5_H
4_H
3_H
2_H
A_S
K_S
Q_S
J_S
10_S
9_S
8_S
7_S
6_S
5_S
4_S
3_S
2_S
A_C
K_C
Q_C
J_C
10_C
9_C
8_C
7_C
6_C
5_C
4_C
3_C
2_C
A_D
K_D
Q_D
J_D
10_D
9_D
8_D
7_D
6_D
5_D
4_D
3_D
2_D
